,name,taste,url,timestamp,retailer,label,roastlevel,Weight250,curreny,price250,Weight1000,price1000,typ,origin_list,country1,country2,country3,country4,country5,roastlevel_cat,Süsse,Bitterkeit,Blumig,Fruchtig,Nussig,Würzig,Röstartig,Körper,Abgang,Säure
50,Bukoba Bio Fairtrade,"würzig, dunkle Schokolade",https://www.rastshop.ch/de/kaffee/bukoba-bio-fairtrade,2022-12-09 08:41:23.752886+00:00,Rast Kaffee,"Bio, Fairtrade",50.0,250,CHF,7.30,1000,26.90,Einzelsorte,Tansania,Tansania,,,,,3,3,4,0,2,4,5,3,5,5,1
51,Laurina Pointu de Bourbon,"Litschi, Gewürze, Kakao",https://www.rastshop.ch/de/kaffee/laurina-pointu-de-bourbon,2022-12-09 08:41:23.760657+00:00,Rast Kaffee,NaN,37.5,250,CHF,122.00,1000,486.00,Einzelsorte,LaRéunion,LaRéunion,,,,,2,4,0,3,4,3,2,1,3,4,4
52,Butihinda,"Schwarztee, Pfirsich",https://www.rastshop.ch/de/kaffee/butihinda,2022-12-09 08:41:23.768029+00:00,Rast Kaffee,NaN,31.25,250,CHF,9.30,1000,34.90,Einzelsorte,Burundi,Burundi,,,,,2,5,0,3,5,1,0,0,3,4,4
53,Somaho,"Mango, Pfirsich, leicht blumig",https://www.rastshop.ch/de/kaffee/somaho,2022-12-09 08:41:23.776581+00:00,Rast Kaffee,NaN,18.75,250,CHF,10.30,1000,38.90,Einzelsorte,Rwanda,Rwanda,,,,,1,4,1,3,5,1,1,0,3,3,4
54,Java Baron,"Kakao, Walnuss, leichte Tabaknoten",https://www.rastshop.ch/de/kaffee/java-baron,2022-12-09 08:41:23.784985+00:00,Rast Kaffee,NaN,50.0,250,CHF,7.30,1000,26.90,Einzelsorte,Indonesien,Indonesien,,,,,3,2,4,0,2,5,3,4,4,4,1
55,"Mandheling, Gold","würzig, leicht fruchtig",https://www.rastshop.ch/de/kaffee/mandheling-gold,2022-12-09 08:41:23.793865+00:00,Rast Kaffee,NaN,55.0,250,CHF,8.00,1000,29.90,Einzelsorte,Indonesien,Indonesien,,,,,3,3,3,1,1,3,4,3,3,4,1
56,Malabar,"nussig, mild, Gewürze",https://www.rastshop.ch/de/kaffee/malabar-monsooned-aspinwall,2022-12-09 08:41:23.804687+00:00,Rast Kaffee,NaN,37.5,250,CHF,7.50,1000,27.90,Einzelsorte,Indien,Indien,,,,,2,1,3,0,0,3,3,3,3,3,0
57,Plantation RFA,"würzig, Schokolade, leicht Pflaume",https://www.rastshop.ch/de/kaffee/plantation-rfa,2022-12-09 08:41:23.814569+00:00,Rast Kaffee,Rainforest,56.25,250,CHF,7.50,1000,27.90,Einzelsorte,Indien,Indien,,,,,3,4,1,0,3,4,4,3,4,3,2
58,Kerkeicoondah,"nussig, würzig, schokoladig",https://www.rastshop.ch/de/kaffee/kerkeicoondah-balehonnur-farm,2022-12-09 08:41:23.823554+00:00,Rast Kaffee,"Direct Trade, Parzellenkaffee",23.75,250,CHF,9.30,1000,34.90,Einzelsorte,Indien,Indien,,,,,2,4,4,2,1,5,4,4,5,5,1
59,Blawan,"Schwarztee, Süssholz, Schokolade",https://www.rastshop.ch/de/kaffee/blawan,2022-12-09 08:41:23.834548+00:00,Rast Kaffee,NaN,58.75,250,CHF,8.00,1000,29.90,Einzelsorte,Indonesien,Indonesien,,,,,3,5,2,0,3,1,2,1,5,5,2
60,Aceh Mandheling BIO Fairtrade,"würzig, Schokolade, Himbeeren",https://www.rastshop.ch/de/kaffee/aceh-mandheling-bio-fairtrade,2022-12-09 08:41:23.844878+00:00,Rast Kaffee,"Bio, Fairtrade",55.0,250,CHF,8.50,1000,31.90,Einzelsorte,Indonesien,Indonesien,,,,,3,3,3,1,1,3,4,3,3,4,1
61,Sigri,"nussig, leicht fruchtig",https://www.rastshop.ch/de/kaffee/sigri-estate-plantation,2022-12-09 08:41:23.854670+00:00,Rast Kaffee,NaN,55.0,250,CHF,8.00,1000,29.90,Einzelsorte,Papua-Neuguinea,Papua-Neuguinea,,,,,3,2,1,2,3,4,4,1,3,3,3
62,Captain Cook,"Schokolade, getrocknete Feigen, leicht Zitrus",https://www.rastshop.ch/de/kaffee/captain-cook,2022-12-09 08:41:23.865279+00:00,Rast Kaffee,NaN,48.75,250,CHF,42.00,1000,166.00,Einzelsorte,Hawaii,Hawaii,,,,,3,4,0,1,5,2,1,1,4,3,4
63,Dornröschen,"dunkle Schokolade, getrocknete Aprikosen",https://www.rastshop.ch/de/kaffee/dornroschen,2022-12-09 08:41:23.876204+00:00,Rast Kaffee,NaN,48.75,250,CHF,7.50,1000,27.90,Koffeinfreie Mischung,Brasilien,Brasilien,,,,,3,4,2,1,2,4,4,2,4,3,2
64,Koffeinfrei Fairtrade,Schokolade,https://www.rastshop.ch/de/kaffee/koffeinfrei-fairtrade,2022-12-09 08:41:23.887375+00:00,Rast Kaffee,Fairtrade,41.25,250,CHF,8.00,1000,29.90,Koffeinfreie Mischung,Peru,Peru,,,,,3,4,1,0,4,5,3,1,3,3,4
